panel	layer	platform	intervention	tissue	n_pairs	n_marks	has_se	eff_col	sig_marks	sig_basis	bmi_axis	base_sd	role	status	contributes_to_score	persistence_eligible	note	path
reversal_olink_bbs	proteome	Olink	bariatric	plasma	118	1472	True	rev_beta	532	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_ukbppp	primary	ANALYZED	True	False		data/proteome/reversal_olink_bbs.tsv
reversal_somascan_direct	proteome	SomaScan	diet	plasma	292	4385	True	rev_beta	1434	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_decode	primary	ANALYZED	True	False		data/proteome/reversal_somascan_direct.tsv
reversal_emperor	proteome	Olink	SGLT2i	plasma	1134	1283	False	rev_beta	419	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_ukbppp	primary	ANALYZED	True	False	treatment-effect not paired	data/proteome/reversal_emperor.tsv
liver_table	transcriptome	HuGene	diet+bariatric	liver	60	28541	True	rev_beta	4514	rev_q<0.10	acquire	recompute_GSE83452	primary	ANALYZED	True	True		data/transcriptome/liver_reversal_table.tsv
adipose_table	transcriptome	microarray	caloric_restriction	SAT_adipose	22	23179	True	rev_beta	817	rev_q<0.10	acquire	recompute_GSE84046	primary	ANALYZED	True	False		data/transcriptome/adipose_reversal_table.tsv
gse141221_adipose_table	transcriptome	RNAseq	diet_LCD	SAT_adipose	220	14325	True	rev_beta	8548	rev_q<0.10	acquire	recompute_GSE141221	primary	ANALYZED	True	True	DiOGenes n=220; LEP -0.68 q1e-26; use INSTEAD of GSE95640	data/transcriptome/gse141221_adipose_reversal_table.tsv
gse273902_blood_table	transcriptome	RNAseq	bariatric	whole_blood	24	14647	True	rev_beta	3840	rev_q<0.10	acquire	recompute_GSE273902	primary	ANALYZED	True	False	PMMO bariatric n=24	data/transcriptome/gse273902_blood_reversal_table.tsv
gse48452_liver_table	transcriptome	HuGene	bariatric	liver	13	19767	True	rev_beta	2253	rev_q<0.10	acquire	recompute_GSE48452	primary	ANALYZED	False	False	Ahrens2013 n=13 -> corroboration-only (below n>=20)	data/transcriptome/gse48452_liver_reversal_table.tsv
gse157585_muscle_table	transcriptome	RNAseq	metformin+resistance	skeletal_muscle	47	14009	True	rev_beta	5754	rev_q<0.10	acquire	pending	primary	ANALYZED	True	False	MASTERS n=47 — NEW TISSUE muscle (treatment+lifestyle)	data/transcriptome/gse157585_muscle_reversal_table.tsv
gse43471_adipose_table	transcriptome	microarray	diet+exercise	SAT_adipose	39	19583	True	rev_beta	939	rev_q<0.10	acquire	pending	primary	ANALYZED	True	False	n=39 lifestyle (diet/exercise)	data/transcriptome/gse43471_adipose_reversal_table.tsv
gse199063_adipose_table	transcriptome	microarray	bariatric_RYGB	SAT_adipose	49	81402	True	rev_beta	13305	rev_q<0.10	acquire	pending	primary	ANALYZED	True	False	n=49 RYGB treatment-surgery; 0/2yr/5yr durability	data/transcriptome/gse199063_adipose_reversal_table.tsv
gse83352_muscle_exercise_table	transcriptome	array	exercise	skeletal_muscle	42	15931	True	rev_beta	197	rev_q<0.10	acquire	recompute_GSE83352	primary	ANALYZED	True	True	STRRIDE n=42 — MUSCLE in determinant meta (5th tissue)	data/transcriptome/gse83352_muscle_exercise_reversal_table.tsv
gse106737_liver_bariatric_table	transcriptome	array	bariatric_RYGB	liver	41	24470	True	rev_beta	558	rev_q<0.10	acquire	pending	primary	ANALYZED	True	False	n=41 — 2nd liver context (CRP/SAA/SERPINE1 down)	data/transcriptome/gse106737_liver_bariatric_reversal_table.tsv
gse77962_adipose_diet_table	transcriptome	array	diet-LCD/VLCD	SAT_adipose	48	18615	True	rev_beta	5689	rev_q<0.10	acquire	pending	primary	ANALYZED	True	False	n=48 — diet + maintenance	data/transcriptome/gse77962_adipose_diet_reversal_table.tsv
gse28358_pbmc_diet_table	transcriptome	array	diet-Mediterranean	PBMC	22	12548	True	rev_beta	0	rev_q<0.10	acquire	pending	primary	ANALYZED	False	False	n=22 PREDIMED PBMC	data/transcriptome/gse28358_pbmc_diet_reversal_table.tsv
directplus	methylation	EPIC	diet	blood	256	866091	False	delta_beta	141347	q<0.10	acquire	measured	primary	ANALYZED	True	True		data/methylation/directplus_reversal.tsv
drift2	methylation	EPIC	behavioral	blood	61	752424	False	delta_beta	528	q<0.10	acquire	measured	primary	ANALYZED	True	True		data/methylation/drift2_reversal.tsv
predimed	methylation	450K	diet	blood	36	485512	False	delta_beta	0	q<0.10	acquire	measured	primary	ANALYZED	False	False		data/methylation/predimed_reversal.tsv
leipzig	methylation	EPIC	bariatric	blood	18	865859	False	delta_beta	1	q<0.10	acquire	measured	primary	ANALYZED	False	False		data/methylation/leipzig_reversal.tsv
benton_sat	methylation	450K	RYGB	SAT_adipose	15	450315	False	delta_beta	150297	q<0.10	acquire	measured	primary	ANALYZED	False	False		data/methylation/benton_sat_reversal.tsv
bbs_metabolon	metabolome	Metabolon	bariatric	serum	264	952	True	rev_beta	635	rev_p<0.05	ondisk_bmi_mr	missing_summary	primary	ANALYZED	True	False		data/metabolome/bbs_reversal_metabolon.tsv
bagheri	metabolome	Metabolon	bariatric	plasma	104	1304	True	effect	1261	fdr<0.10	borrow_bbs	missing_summary	primary	ANALYZED	True	False		data/metabolome/reversal_raw/bagheri_reversal.tsv
palau	metabolome	Biocrates	bariatric	serum	27	139	True	effect	38	p<0.05	borrow_bbs	recompute_palau_S8	primary	ANALYZED	True	True		data/metabolome/reversal_raw/palau_reversal.tsv
mtbls218	metabolome	LC-HRMS	bariatric	serum	44	19	True	effect	0	p<0.05	borrow_bbs	recompute_mtbls218_maf	primary	ANALYZED	False	False		data/metabolome/reversal_raw/mtbls218_reversal.tsv
step_semaglutide_proteome	proteome	SomaScan	GLP1RA_semaglutide	plasma	1133	6402	True	rev_beta	2254	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_decode	drug-panel	ANALYZED	True	False	STEP semaglutide Nat Med 2025 (PMID 39753963); treatment-effect	data/proteome/step_semaglutide_proteome_reversal.tsv
nowak_metformin_proteome	proteome	Olink	metformin	plasma	98	372	True	rev_beta	76	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_ukbppp	drug-panel	ANALYZED	True	False	Nowak metformin; treatment-effect	data/proteome/nowak_metformin_proteome_reversal.tsv
bariatric_ms_proteome	proteome	MS	bariatric	plasma	44	503	True	rev_beta	57	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_ukbppp	drug-panel	ANALYZED	True	False	open MS proteomics fallback; per-protein n_pairs<=44	data/proteome/bariatric_ms_proteome_reversal.tsv
liraglutide_proteome	proteome	Olink	GLP1RA_liraglutide	plasma	20	151	True	rev_beta	151	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_ukbppp	drug-panel	corroboration-only	True	False	n=20 corroboration-only	data/proteome/liraglutide_proteome_reversal.tsv
dapagliflozin_proteome	proteome	Olink	SGLT2i_dapagliflozin	plasma	-1	38	True	rev_beta	38	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_ukbppp	drug-panel	corroboration-only	False	False	corroboration-only; small panel	data/proteome/dapagliflozin_proteome_reversal.tsv
gse107894_adipose_metformin_table	transcriptome	array	metformin	SAT_adipose	14	18438	True	rev_beta	5	rev_q<0.10	acquire	pending	context-durability	ANALYZED	False	False	adipose metformin context	data/transcriptome/gse107894_adipose_metformin_reversal_table.tsv
gse161643_muscle_bariatric_table	transcriptome	RNAseq	bariatric	skeletal_muscle	12	22880	True	rev_beta	1	rev_q<0.10	acquire	pending	context-durability	ANALYZED	False	False	muscle bariatric context	data/transcriptome/gse161643_muscle_bariatric_reversal_table.tsv
gse224310_adipose_exercise_table	transcriptome	RNAseq	exercise	SAT_adipose	9	19211	True	rev_beta	0	rev_q<0.10	acquire	pending	context-durability	ANALYZED	False	False	adipose exercise context	data/transcriptome/gse224310_adipose_exercise_reversal_table.tsv
gse310742_blood_glp1ra_table	transcriptome	RNAseq	GLP1RA	whole_blood	11	12965	True	rev_beta	0	rev_q<0.10	acquire	pending	context-durability	ANALYZED	False	False	blood GLP1RA context	data/transcriptome/gse310742_blood_glp1ra_reversal_table.tsv
gse70529_adipose_dose_table	transcriptome	array	caloric_restriction_dose	SAT_adipose	9	20003	True	rev_beta	1	rev_q<0.10	acquire	pending	context-durability	ANALYZED	False	False	adipose CR dose context	data/transcriptome/gse70529_adipose_dose_reversal_table.tsv
gse117070_muscle_exercise_table	transcriptome	array	exercise	skeletal_muscle	41	21655	True	rev_beta	11416	rev_q<0.10	acquire	pending	context-durability	EXCLUDED	False	False	EXCLUDED batch-inverted signs (wf_6477c2d0)	data/transcriptome/gse117070_muscle_exercise_reversal_table.tsv
gse60655_muscle_expression_table	transcriptome	array	exercise	skeletal_muscle	11	12624	True	rev_beta	2143	rev_q<0.10	acquire	pending	cross-layer	ANALYZED	False	False	GSE60655 expression arm (cross-layer w/ methylation)	data/transcriptome/gse60655_muscle_expression_reversal_table.tsv
gse193771_blood_exercise_table	transcriptome	RNAseq	exercise	whole_blood	9	7579	True	rev_beta	0	rev_q<0.10	acquire	pending	cross-layer	ANALYZED	False	False	GSE193771 expression arm (cross-layer)	data/transcriptome/gse193771_blood_exercise_reversal_table.tsv
gse60655_muscle_exercise	methylation	450K	exercise	skeletal_muscle	17	468553	False	delta_beta	3970	q<0.10	acquire	measured	cross-layer	ANALYZED	False	False	GSE60655 methylation arm (cross-layer w/ expression)	data/methylation/gse60655_muscle_exercise_reversal.tsv
gse193730_blood_exercise	methylation	EPIC	exercise	blood	10	809383	False	delta_beta	0	q<0.10	acquire	measured	cross-layer	ANALYZED	False	False	GSE193730 blood exercise (cross-layer)	data/methylation/gse193730_blood_exercise_reversal.tsv
gse171140_muscle_exercise	methylation	EPIC	exercise	skeletal_muscle	68	763221	False	delta_beta	68916	q<0.10	acquire	measured	context-durability	ANALYZED	True	True	muscle exercise methylation context	data/methylation/gse171140_muscle_exercise_reversal.tsv
gse114763_muscle_detraining	methylation	EPIC	detraining	skeletal_muscle	8	866836	False	delta_beta	0	q<0.10	acquire	measured	comparator	RETAINED-memory-comparator	False	False	RETAINED-memory-comparator (detraining = epigenetic memory)	data/methylation/gse114763_muscle_detraining_reversal.tsv
yousri_rygb_2yr	proteome	SomaScan	bariatric_RYGB	plasma	200	1297	True	rev_beta	930	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_decode	durability	ANALYZED	True	False	Yousri 2022 (PMID 34796696) RYGB SomaLogic 2yr arm; durability anchor (2yr->12yr rho=0.67)	data/proteome/yousri_rygb_2yr_reversal.tsv
yousri_rygb_12yr	proteome	SomaScan	bariatric_RYGB	plasma	200	1297	True	rev_beta	950	rev_q<0.10	goudswaard_ST5_INTERVAL	proxy_decode	durability	ANALYZED	True	False	Yousri 2022 (PMID 34796696) RYGB SomaLogic 12yr arm; 84% same-dir vs 2yr, |12yr|/|2yr|=1.04	data/proteome/yousri_rygb_12yr.tsv
central_emtab8956	methylation	EPIC	diet	blood	120	866091	False	delta_beta	66080	q<0.10	acquire	measured	cross-cohort-replication	ANALYZED	True	True	E-MTAB-8956 blood diet n=120; cross-cohort methylation replication panel	data/methylation/central_emtab8956_reversal.tsv
